#                 x                   p                 rho                 U_x                 U_y                 U_z
              1e-06       4479014.25565       4.33506770438       198.284362072   -1.4476009774e-06    1.4771984731e-14
  0.000822278557114       4479016.94325       4.33505230052       198.280903138  -1.44760097743e-06   1.47717578779e-14
   0.00164355711423       4479021.92205       4.33503331692       198.275315293  -1.42125871629e-06   1.47713915917e-14
   0.00246483567134       4479029.39043       4.33501044602       198.267415422  -1.42125871635e-06   1.47708734813e-14
   0.00328611422846       4479038.37149       4.33498947463       198.259095641  -1.32831328073e-06   1.47702755697e-14
   0.00410739278557       4479047.00757       4.33496824138       198.251123022  -1.17475749451e-06   1.47696475868e-14
   0.00492867134269       4479055.10909        4.3349465501       198.243624527  -1.17475749458e-06   1.47691558004e-14
    0.0057499498998       4479062.74465       4.33492442369       198.236256763  -9.72414902845e-07   1.47685143909e-14
   0.00657122845691       4479070.43828        4.3349023312       198.228710864   -7.2528899898e-07    1.4767806828e-14
   0.00739250701403       4479078.29124       4.33488034543       198.220868408  -7.25288999048e-07   1.47672924831e-14
   0.00821378557114       4479086.64273       4.33485875433       198.212411516   -4.3336714879e-07    1.4766521158e-14
   0.00903506412826       4479095.69498       4.33483664111       198.204607029  -1.01344246607e-07   1.47657883521e-14
   0.00985634268537       4479105.92522       4.33481341946       198.198206549  -1.01344246663e-07   1.47653685787e-14
    0.0106776212425        4479110.0188        4.3347887858       198.199209005  -1.81875091524e-06   1.47721798323e-14
    0.0114988997996       4479112.80751       4.33476385163        198.20178321  -1.81875091522e-06   1.47723486608e-14
    0.0123201783567       4479112.44508       4.33473545489       198.207664525  -4.08384595843e-06   1.47867900535e-14
    0.0131414569138        4479107.0878       4.33470156882       198.218788447  -4.08384595833e-06   1.47875196123e-14
    0.0139627354709       4479101.73052       4.33466768276        198.22991237  -4.08384595824e-06   1.47882491712e-14
    0.0147840140281       4479090.83325         4.334630001       198.245983632  -6.60207741602e-06   1.48035555095e-14
    0.0156052925852       4479079.63414       4.33459211419       198.262323678  -6.60207741588e-06    1.4804627166e-14
    0.0164265711423        4479066.8112       4.33455282377       198.279886474  -8.72776236684e-06   1.48204038098e-14
    0.0172478496994       4479052.43026       4.33451218233       198.298623011  -8.72776236668e-06   1.48216326395e-14
    0.0180691282565       4479037.98109        4.3344714604       198.317473553  -1.05730215771e-05   1.48377767858e-14
    0.0188904068136       4479022.64474       4.33442972147       198.337807143  -1.05730215769e-05   1.48391103576e-14
    0.0197116853707        4479007.3084       4.33438798254       198.358140733  -1.05730215767e-05   1.48404439294e-14
    0.0205329639279       4478990.81947        4.3343453956       198.380174333  -1.24471933287e-05   1.48570878658e-14
     0.021354242485       4478973.66223       4.33430231403       198.403193351  -1.24471933285e-05   1.48585975605e-14
    0.0221755210421       4478955.94953       4.33425880471       198.426927911  -1.45918637552e-05   1.48756587238e-14
    0.0229967995992       4478935.93955       4.33421353556       198.453621468   -1.4591863755e-05    1.4877409412e-14
    0.0238180781563       4478915.92957        4.3341682664       198.480315025  -1.45918637547e-05   1.48791601001e-14
    0.0246393567134       4478893.23961       4.33412080717       198.510369445  -1.71423553711e-05   1.48970642436e-14
    0.0254606352705       4478869.68638       4.33407263997       198.541506465  -1.71423553708e-05   1.48991063548e-14
    0.0262819138277       4478844.79899       4.33402342822        198.57432216  -2.01913417323e-05   1.49175365032e-14
    0.0271031923848       4478817.05002       4.33397198227       198.610738414   -2.0191341732e-05   1.49199248512e-14
    0.0279244709419       4478789.30105       4.33392053632       198.647154669  -2.01913417317e-05   1.49223131992e-14
     0.028745749499        4478757.1486       4.33386560385       198.689124708   -2.3839440914e-05    1.4941595459e-14
    0.0295670280561       4478724.39335       4.33381019182       198.731854999  -2.38394409136e-05   1.49443979111e-14
    0.0303883066132       4478688.98671       4.33375270063       198.777921166  -2.82032184416e-05   1.49641058742e-14
    0.0312095851703       4478650.22211       4.33369258083       198.828212166  -2.82032184411e-05   1.49674041928e-14
    0.0320308637275       4478611.43714       4.33363244697       198.878528679  -3.34055915418e-05   1.04037759011e-14
    0.0328521422846       4478565.47789       4.33356662847       198.937828729  -3.34055915412e-05   1.04076650753e-14
    0.0336734208417       4478519.51864       4.33350080996       198.997128778  -3.34055915407e-05   1.04115542495e-14
