#                 y                   p                 rho                 U_x                 U_y                 U_z
              1e-06       88248.9458331      0.162981100259       2440.26330555     0.0073702149022   1.70024226272e-13
   0.00015550209205       88242.7066707      0.162969489301       2440.26096536       1.14608383287   1.71201100197e-12
    0.0003100041841       88236.4675084      0.162957878343       2440.25862517       2.28479745085   3.25399777766e-12
  0.000464506276151        88230.228346      0.162946267385       2440.25628498       3.42351106882   4.79598455336e-12
  0.000619008368201       88223.9891837      0.162934656426       2440.25394478       4.56222468679   6.33797132905e-12
  0.000773510460251       88217.7500214      0.162923045468       2440.25160459       5.70093830476   7.87995810475e-12
  0.000928012552301        88211.510859       0.16291143451        2440.2492644       6.83965192273   9.42194488045e-12
   0.00108251464435       88205.2716967      0.162899823552       2440.24692421        7.9783655407   1.09639316561e-11
    0.0012370167364       88199.0325343      0.162888212594       2440.24458401       9.11707915867   1.25059184318e-11
   0.00139151882845        88192.793372      0.162876601636       2440.24224382       10.2557927766   1.40479052075e-11
    0.0015460209205       88186.5542097      0.162864990677       2440.23990363       11.3945063946   1.55898919832e-11
   0.00170052301255       88180.3150473      0.162853379719       2440.23756344       12.5332200126   1.71318787589e-11
    0.0018550251046        88174.075885      0.162841768761       2440.23522324       13.6719336306   1.86738655346e-11
   0.00200952719665       88167.8367226      0.162830157803       2440.23288305       14.8106472485   2.02158523103e-11
    0.0021640292887       88161.5975603      0.162818546845       2440.23054286       15.9493608665    2.1757839086e-11
   0.00231853138075       88162.7928409      0.162820815065        2440.2214097       17.0701521145  -0.000222546933154
    0.0024730334728       88175.2839839       0.16284417243       2440.20196679       18.1631675098  -0.000806760088801
   0.00262753556485        88187.775127      0.162867529795       2440.18252387        19.256182905   -0.00139097324445
    0.0027820376569         88200.26627      0.162890887159       2440.16308096       20.3491983003   -0.00197216359882
   0.00293653974895       88212.7574131      0.162914244524       2440.14363805       21.4422136956   -0.00255001246942
     0.003091041841       88225.2485561      0.162937601889       2440.12419513       22.5352290908   -0.00312786134002
   0.00324554393305       88237.7396992      0.162960959254       2440.10475222       23.6282444861   -0.00370571021062
    0.0034000460251       88248.3344765      0.162980784045       2440.08545118       24.6831121848   -0.00419588325997
   0.00355454811715       88240.2215364      0.162965759872       2440.06754974       25.3616514629   -0.00382113112818
   0.00370905020921       88232.1085963      0.162950735698        2440.0496483       26.0401907411   -0.00344637899639
   0.00386355230126       88223.9956562      0.162935711525       2440.03174687       26.7187300192    -0.0030716268646
   0.00401805439331       88215.8827161      0.162920687351       2440.01384543       27.3972692973   -0.00269687473281
   0.00417255648536        88207.769776      0.162905663178       2439.99594399       28.0758085755   -0.00232212260102
   0.00432705857741       88199.6568359      0.162890639004       2439.97804255       28.7543478536   -0.00194737046924
   0.00448156066946       88191.5438959       0.16287561483       2439.96014111       29.4328871318   -0.00157124064579
   0.00463606276151       88183.4309558      0.162860590657       2439.94223968       30.1114264099   -0.00119236108639
   0.00479056485356       88175.3180157      0.162845566483       2439.92433824       30.7899656881     -0.000813481527
   0.00494506694561       88167.2050756       0.16283054231        2439.9064368       31.4685049662  -0.000434601967606
   0.00509956903766       88159.0921355      0.162815518136       2439.88853536       32.1470442443  -5.57224082129e-05
   0.00525407112971       88170.1601692      0.162835147971       2439.84656623       33.4260423709  -0.000651724121757
   0.00540857322176       88185.1945554      0.162861945904       2439.79963332       34.8292486818   -0.00145777234614
   0.00556307531381       88200.2289416      0.162888743836       2439.75270042       36.2324549927   -0.00226382057051
   0.00571757740586       88215.2633278      0.162915541768       2439.70576751       37.6356613036   -0.00306824500804
   0.00587207949791        88230.297714        0.1629423397       2439.65883461       39.0388676146   -0.00386551232666
   0.00602658158996       88245.3321002      0.162969137633        2439.6119017       40.4420739255   -0.00466277964529
   0.00618108368201       88260.3664864      0.162995935565        2439.5649688       41.8452802364   -0.00546004696391
   0.00633558577406       88275.4008726      0.163022733497       2439.51803589       43.2484865473   -0.00625731428253
   0.00649008786611       88290.4352588      0.163049531429       2439.47110299       44.6516928583   -0.00705458160115
   0.00664458995816       88291.1897803      0.163049876786       2439.42394502       45.9243394056    -0.0067579874803
