time_s,Ug_analytic_m_s,Ug_GPU_GKS_GKP_m_s,Up_analytic_m_s,Up_GPU_GKS_GKP_m_s
0.0,1.0,1.0,0.0,0.0
1e-05,0.9835825404794147,0.9835814940925803,0.16417459520585198,0.16431688648537
2e-05,0.9701390991601926,0.9701396160025602,0.29860900839807336,0.29884350281826016
3e-05,0.9591283248502895,0.9591320804066388,0.4087167514971043,0.409007099376
4e-05,0.9501081498629947,0.95011614618482,0.49891850137005245,0.49923866985992
5e-05,0.9427173700675592,0.9427301300928601,0.5728262993244078,0.5731579679862302
6e-05,0.9366607023628251,0.93667841417636,0.6333929763717485,0.63372355716406
7e-05,0.9316966461479146,0.9317192695053174,0.6830335385208537,0.6833546732801701
8e-05,0.9276276105183582,0.9276549549569709,0.7237238948164177,0.72403031798558
9e-05,0.9242918756364001,0.9243236572341951,0.7570812436359985,0.7573699243235997
0.0001,0.9215570413470209,0.9215929234814215,0.7844295865297908,0.784699084038858
0.00011,0.9193146834671628,0.9193543056300155,0.8068531653283715,0.8071031476147851
0.00012,0.9174759919716557,0.9175189897128617,0.8252400802834428,0.8254709665406994
0.00013,0.9159682083975201,0.9160142267218018,0.8403179160247984,0.8405306135990116
0.00014,0.914731714411221,0.9147804163831079,0.8526828558877894,0.8528785686514645
0.00015,0.9137176513662093,0.9137687232448267,0.8628234863379066,0.8630035769804716
0.00016,0.9128859731821072,0.9129391270772882,0.8711402681789284,0.8713061609773767
0.00017,0.9122038530751749,0.9122588278653174,0.8779614692482504,0.8781145830444275
0.00018,0.9116443794115299,0.9117009404728283,0.8835562058847013,0.8836979094332892
0.00019,0.9111854879147543,0.9112434260667371,0.8881451208524569,0.888276704580862
0.0002,0.9108090871760582,0.9108682171389408,0.8919091282394168,0.8920317879053046
0.00021,0.9105003423183659,0.910560500895178,0.8949965768163417,0.8951114056586299
0.00022,0.9102470881007655,0.9103081322352834,0.897529118992345,0.8976371058229444
0.00023,0.9100393479942873,0.9101011528094631,0.8996065200571265,0.899708551392396
0.00024,0.9098689400376901,0.9099313969248357,0.9013105996230987,0.9014074644512132
0.00025,0.9097291537735956,0.9097921685771695,0.9027084622640433,0.9028008584225403
0.00026,0.9096144854171282,0.9096779767412908,0.9038551458287173,0.9039436872527215
0.00027,0.9095204207397423,0.9095843183892602,0.9047957926025775,0.9048810169195691
0.00028,0.9094432570563608,0.9095075006146875,0.9055674294363918,0.9056498055447328
0.00029,0.909379957262502,0.9094444948028816,0.9062004273749793,0.9062803627628774
0.0003,0.9093280301433565,0.9093928170639735,0.9067196985664349,0.9067975462157823
