x,rho_g,rho_p,u_g,u_p,p_g,T_p
0.004979218107,0.999784363903,0.500186618567,0.00010060312271,0.000477955019446,1.14065326644,1.08512485204
0.0149796296296,0.999655103996,0.49899660673,0.000224790034384,0.0012669635308,1.14067518178,1.08455848036
0.0249790123457,0.999726915056,0.499958874922,0.000256220055239,-6.26796685643e-05,1.14066300659,1.0831966631
0.0349794238683,0.999696138887,0.500943712305,0.000245104560059,0.0017154162674,1.14080423877,1.08596358717
0.0449794238683,0.999821295305,0.501801341525,0.000348402006651,0.000721920974015,1.14088946508,1.08785389775
0.0549794238683,1.0000880221,0.500592863987,0.000338628036751,0.00108719914323,1.14086754974,1.08522044981
0.0649794238683,1.00007160814,0.49825182346,0.000276534580914,0.000720387802266,1.14095521109,1.08384600643
0.0749794238683,0.999966969167,0.499148435827,0.000160396820923,7.28143847585e-05,1.14090651034,1.08321470041
0.0849794238683,1.00003057325,0.499464404487,0.000176878417226,0.000662127275802,1.14101852207,1.08518978637
0.0949794238683,1.00029524829,0.499156642805,6.01657178288e-05,-3.04830618342e-05,1.14085780959,1.08495169382
0.104979423868,0.999979279635,0.500541570374,1.22541006708e-05,8.33549405332e-05,1.14101365199,1.08558660729
0.114979423868,1.00016804013,0.498461101404,8.41215264078e-05,0.000387306239784,1.14085537456,1.08406966913
0.124979423868,0.999993641847,0.499224350375,5.03917479285e-05,0.00110904684065,1.14094060087,1.0845837326
0.134979423868,0.999938244744,0.500951919283,0.000153689194521,0.000313139056423,1.14097225636,1.08464866693
0.144979423868,1.00041014599,0.500020427259,0.000160396820923,-0.000678823065216,1.14072144749,1.08429513556
0.154979423868,1.00006750465,0.498459049659,0.00010060312271,0.000138740769968,1.14070196719,1.0831281213
0.164979423868,0.999663310975,0.499090986979,0.000203900569303,0.000903793472747,1.14055829998,1.08417248182
0.174979423868,0.999550465025,0.501175559439,0.000226323206133,-0.000177092610338,1.14030992616,1.08542607519
0.184979423868,0.999228341131,0.49881605321,0.000380598613381,0.00261002198298,1.14030505608,1.08468654529
0.194979423868,0.999513533623,0.500313826729,0.000593901132969,0.00282773237134,1.14030018601,1.08520241249
0.204979423868,1.00000800406,0.498961727073,0.00063433853785,0.00208893523477,1.14028070571,1.08298562651
0.214979423868,0.999782312158,0.499755752212,0.000683016740883,0.0024534468181,1.14015895384,1.08373056761
0.224979423868,0.998895958514,0.498840674145,0.00141893918043,0.00291761456513,1.13949175357,1.08358266163
0.234979423868,0.997008353531,0.498257978693,0.00460659489319,0.0050115438814,1.13547394172,1.08168152866
0.244979423868,0.98918710332,0.497939958289,0.0142404712248,0.00564704357139,1.1234935573,1.08192142495
0.254979423868,0.973913916916,0.496378580689,0.0336575164872,0.00719899667437,1.09918214306,1.07643988501
0.264979423868,0.953757578491,0.492227901471,0.059276816414,0.0118494898822,1.06769954343,1.07185660335
0.274979423868,0.930983214024,0.491753948481,0.0885508144975,0.0181086635477,1.03274701539,1.06675204329
0.284979423868,0.907537929091,0.487988997238,0.119183586044,0.0253074798489,0.996839952652,1.05630122316
0.294979423868,0.883257584127,0.481101290795,0.15066726791,0.0363501493715,0.960901234429,1.04508742461
0.304979423868,0.858962876952,0.479336790485,0.182750803224,0.046152866242,0.925300986416,1.03499193957
0.314979423868,0.834994397159,0.472293151457,0.215238712587,0.0589970125698,0.890197486049,1.02352020743
