x_m,rho_g_published,rho_p_published,u_g_published,u_p_published,p_g_published,T_p_published,rho_g_GPU_GKS_GKP,rho_p_GPU_GKS_GKP,u_g_GPU_GKS_GKP,u_p_GPU_GKS_GKP,p_g_GPU_GKS_GKP,T_p_GPU_GKS_GKP
0.0025,0.999784363903,0.500186618567,0.00010060312271,0.000477955019446,1.14065326644,1.08512485204,0.99999599316535,0.5,6.0908522596044e-06,8.8375096219469e-07,1.1101488727081,1.0781463216090772
0.0075,0.999751781640528,0.499886654882067,0.00013190664632879807,0.0006768386718186325,1.1406587905918937,1.0849820879674992,0.99999462937081,0.5,8.3089334681801e-06,2.4705169563108e-06,1.1101461627821,1.0781326781742266
0.0125,0.9996871543465873,0.4992916734483977,0.00019399754698491066,0.0010713266934220009,1.1406697478109795,1.0846989137807568,0.99999345637378,0.5,1.0732738575878e-05,4.3630119341294e-06,1.1101435096366,1.078132425409299
0.0175,0.9996732041600831,0.49923914892568877,0.00023271205272783752,0.0009318235108579801,1.1406721129917556,1.084215230784556,0.99999158236814,0.5,1.3329014603331e-05,6.2443702432259e-06,1.1101406263264,1.0781320749103194
0.0225,0.9997091119066105,0.4997203127231553,0.0002484280332775141,0.0002669608702754562,1.140666025020955,1.0835342801205678,0.9999901532617,0.5,1.4911950216205e-05,8.2356835862538e-06,1.1101379417419,1.078131646497021
0.0275,0.9997191567410626,0.5002071409936937,0.00025341796793920397,0.00038555767572866624,1.1406986095830733,1.0838941725379958,0.99998888034644,0.49974999999999997,1.6435245507076e-05,0.00078770893497512,1.110135546584,1.0781468538167143
0.0325,0.9997037692897911,0.5006995394218855,0.00024786044905366613,0.0012745690588832344,1.1407692227671813,1.0852775776427492,0.9999873797536,0.49974999999999997,1.8689765577329e-05,0.00072437645798272,1.1101334164994,1.0781317832847876
0.0375,0.999727685514994,0.501159884279178,0.0002711414678935351,0.0014649982150537477,1.1408257207102779,1.0864400543429449,0.9999859460215,0.5,2.3424394683648e-05,1.3883187649101e-05,1.1101295296793,1.0781168336588276
0.0425,0.9997902637239939,0.501588698889178,0.0003227901911895351,0.0009682505683612475,1.1408683338652779,1.0873852096329448,0.99998409561835,0.5,2.8364386292227e-05,1.646316673341e-05,1.1101257649348,1.0781294212327377
0.0475,0.9998885258243161,0.5014967355612021,0.0003459384031268106,0.0008139921174904403,1.140883941151708,1.0871901171478362,0.99998168457379,0.5,3.306448434328e-05,1.911822932087e-05,1.110120627817,1.0781148359308885
0.0525,1.000021889221816,0.5008924967922022,0.00034105141817681055,0.0009966312020979402,1.140872983481708,1.0858733931778362,0.99997873398594,0.5,3.8334831441949e-05,2.2434467160661e-05,1.1101146351759,1.0781136104854596
0.0575,1.0000838848364197,0.5000027868994301,0.00032297690847924896,0.000994741552142927,1.1408896454506483,1.0848740108922,0.99997642031827,0.5,4.3974997643498e-05,2.5765389025429e-05,1.1101085070107,1.0781122002770362
0.0625,1.0000756778564197,0.49883226663593017,0.00029193018056074895,0.000811335881660927,1.1409334761256484,1.0841867892022,0.9999719590214,0.5,5.0325557533654e-05,2.9411921238522e-05,1.1101004348572,1.0780971194544755
0.0675,1.0000452330902212,0.49847782143316477,0.00024726117433175815,0.0005571619922967192,1.1409429356951954,1.0836868809414189,0.99996782338234,0.5,5.7707614686773e-05,3.3951710839927e-05,1.1100914003553,1.0780953753974338
0.0725,0.9999929136037211,0.49892612761666477,0.0001891922943362583,0.00023337528354297016,1.1409185853201955,1.083371227931419,0.99996329539045,0.49950000000000006,6.4450698431404e-05,0.0013701446552923,1.1100828964311,1.0781095162206193
0.0775,0.9999830010603489,0.49922807813327613,0.00016455113274836566,0.00022135518548523666,1.140934743749311,1.0837125358628832,0.99995903945465,0.5,7.3995145110528e-05,4.308904898367e-05,1.110072021974,1.078064445969758
0.0825,1.000014803101849,0.49938606246327616,0.00017279193089986568,0.0005160116310069871,1.1409907496143108,1.084700078842883,0.99995260464986,0.5,8.4266446527305e-05,4.9796419723109e-05,1.1100602196584,1.0780618659823338
0.0875,1.0000972866088482,0.4993868308120099,0.00014746009278931413,0.00048754956724055194,1.1409780132658844,1.0851297733301335,0.99994488960057,0.5,9.7898849244229e-05,5.7157734155699e-05,1.1100442643351,1.0780453809222728
0.0925,1.0002296241288482,0.4992329499710099,8.910374309071403e-05,0.0001412443984224515,1.1408976570258844,1.0850107270551335,0.99993629837175,0.49974999999999997,0.0001119636137224,0.000676542461677,1.1100258756765,1.0780426035149393
0.0975,1.0002156059849818,0.49950572434246593,4.8089229964477365e-05,-1.7893266685714344e-06,1.1408970908533758,1.0851117285938223,0.99992609747454,0.49950000000000006,0.00012757455498685,0.0015457825515979,1.1100076417194,1.0780457575129976
0.1025,1.000057621657477,0.5001981881269868,2.4133421384758732e-05,5.512967451683603e-05,1.1409750120533781,1.085429185328832,0.9999179116305,0.5,0.00014393973414391,8.3675702130167e-05,1.1099892257054,1.0779939556709655
0.1075,1.0000268581548362,0.5000171723310852,3.0368832468896488e-05,0.0001599681795513957,1.1409737569587708,1.0852042514780185,0.99990578367553,0.5,0.00016444940104088,9.6122171030876e-05,1.1099652319047,1.0779755452748763
0.1125,1.0001212384023361,0.49897693784608516,6.630254533739649e-05,0.0003119438291767957,1.140894618243771,1.0844457823980185,0.99989085044628,0.49925,0.00018706776017598,0.0019008011957876,1.1099372734863,1.0780004149877493
0.1175,1.0001240817150407,0.4986534841179076,7.561967895054295e-05,0.0005692264529878172,1.1408768565002805,1.0841992427412817,0.99987548239298,0.49974999999999997,0.00021252744401332,0.00071149742689324,1.1099067738932,1.0779522080010284
0.1225,1.0000368825735408,0.4990351086034076,5.8754789710892925e-05,0.0009300967534208178,1.1409194696552805,1.0844562744762816,0.9998596034832,0.49950000000000006,0.00023958392362822,0.0013238820016899,1.1098741748963,1.0779473519121254
0.1275,0.9999796785854396,0.499659797270589,7.642865576626008e-05,0.0009084322242304413,1.140948579877254,1.0846000997922345,0.99983779954202,0.499,0.00027008669224245,0.0026281326493207,1.1098354524749,1.0779467480948786
0.1325,0.9999519800339396,0.500523581724589,0.00012807737906251015,0.0005104783321169408,1.140964407622254,1.0846325669572345,0.99981614618846,0.5,0.00030930706327334,0.00017498180725671,1.1097896543853,1.0778617795168928
0.1375,1.0000571910457328,0.5007171296267157,0.0001553799028221254,6.310745165786396e-05,1.1409090380748583,1.0845595566566864,0.99978560484272,0.49950000000000006,0.00035564100320898,0.0012918553315022,1.1097341797394,1.0778533355272994
0.1425,1.0002931416687328,0.5002513836147157,0.0001587337160231254,-0.0004328736091616333,1.1407836336398585,1.0843827909716863,0.99975730953159,0.49974999999999997,0.00040247587323183,0.0008288367964787,1.1096798815843,1.0778037284393749
0.1475,1.000323780631656,0.49962687014784,0.00014532536406703018,-0.0004727498762808837,1.1407165373320776,1.084000980731054,0.99972281758301,0.5,0.00045798374522024,0.00025776088880316,1.1096139444907,1.077747823424585
0.1525,1.000152459961656,0.49884618134784003,0.00011542851496053018,-6.396795868888376e-05,1.1407067971820777,1.083417473601054,0.99968482044565,0.49874999999999997,0.00051630177992399,0.002923716486309,1.1095428174091,1.077777943832564
0.1575,0.999965624557009,0.4986183342715712,0.000126640030547886,0.0003315781282026834,1.1406657547759522,1.0833913603199914,0.99964404552804,0.49874999999999997,0.00058328091955319,0.0031556366031389,1.109463139553,1.0777298263140538
0.1625,0.999763527719509,0.4989343029315712,0.00017828875384438614,0.0007141044795921845,1.1405939211709522,1.0839135405799916,0.99959076226916,0.499,0.00066303352812597,0.0026711954755183,1.1093674273267,1.0776873196509154
0.1675,0.9996348672941837,0.4996164193378101,0.00020955236562402027,0.0006313479065034962,1.1404956954677494,1.0844884595727655,0.99953383723357,0.49874999999999997,0.00075000124945868,0.0027722565846475,1.1092624167804,1.0776285535057695
0.1725,0.9995784443191837,0.5006587055678101,0.00022076368403902018,9.090486496099914e-05,1.1403715085577495,1.0851152562577655,0.99946029409727,0.49850000000000005,0.00085791116947073,0.0036261329773583,1.10913070553,1.0775918321068558
0.1775,0.9994692712451236,0.5005808279305878,0.0002652094970593887,0.0005254208417686206,1.1403086986192592,1.085239671048516,0.99938116807897,0.49850000000000005,0.00097871019039162,0.0034279903129594,1.1089848208987,1.0775137399817905
0.1825,0.9993082092981237,0.49940107481608775,0.0003423472006833887,0.0019189781384276205,1.1403062635792591,1.084869906098516,0.99929210939165,0.49925,0.0011139903731224,0.0022078872719078,1.1088240917396,1.077414352928095
0.1875,0.999300226069836,0.4991935784283133,0.00043436313735789746,0.0026648975438388666,1.1403038285417797,1.0848165735451603,0.99918055332757,0.49799999999999994,0.0012742837296517,0.0046652758636136,1.1086285457342,1.077415645046442
0.1925,0.999442822315836,0.4999424651878133,0.0005410143971518978,0.002773752738018867,1.1403013935067796,1.0850745071451602,0.99905152980347,0.49874999999999997,0.0014635181948738,0.0032639006565866,1.1083999294207,1.0772833200813472
0.1975,0.9996381686611482,0.4999730197169001,0.000604093688727307,0.00264151292845717,1.1402952758520775,1.0846436547069058,0.99888267862639,0.49824999999999997,0.0017033445021222,0.0041847678417763,1.1081102186017,1.0772133567141433
0.2025,0.9998854038796481,0.4992969698889001,0.0006243123911678069,0.0022721143601721703,1.1402855357020776,1.0835352617169058,0.99866662806044,0.4975,0.002001617388609,0.0057491131578521,1.1077446901973,1.0771538169479369
0.2075,0.9999511166978632,0.4991618671543572,0.0006466082495213629,0.002180813154447912,1.1402500172242451,1.0831733945856405,0.99837978368306,0.49675,0.0023979998152054,0.0074701365543865,1.1072597753602,1.0771121897109532
0.2125,0.9998382707468633,0.49955887972385715,0.0006709473510378629,0.0023630689461129123,1.1401891412892453,1.0835458651356407,0.99797780730143,0.4975,0.0029310848414793,0.0055833799194026,1.1066032610615,1.0769247783069866
0.2175,0.9995588999740422,0.4995250998185403,0.0008685115944955378,0.0025704438325408027,1.1399907809324175,1.083693286781703,0.99738846753887,0.4975,0.0037106525921018,0.0058960622329473,1.1056450364901,1.0767750289355138
0.2225,0.9991157231520422,0.49906756078504033,0.0012364728142690389,0.0028025277060558036,1.1396571807974174,1.083619333791703,0.99653374591503,0.49700000000000005,0.0048082192179297,0.0070820071542174,1.1042858691554,1.0766651186764296
0.2275,0.9984201733073206,0.4986938013201464,0.0022224120710916356,0.0034454053907985276,1.1384790335048023,1.0831034665912058,0.99529182708543,0.4965,0.0063951028050691,0.0084834186677934,1.1023200424233,1.0765125479572493
0.2325,0.9974763708158206,0.49840245359414637,0.0038162399274716354,0.004492370048933528,1.1364701275798024,1.0821529001062058,0.99351259281368,0.496,0.0086586872339767,0.0095852646688273,1.0995202761716,1.0763053993899856
0.2375,0.9950369478705754,0.4981778192290188,0.007034886767199577,0.0051717264164482185,1.1324541946178763,1.0817419963462729,0.99100612835162,0.49450000000000005,0.011823187198463,0.012473599497472,1.0955985660149,1.0761281679204686
0.2425,0.9911263227650754,0.49801880902701884,0.011851824933004577,0.005489476261443219,1.1264640024078763,1.081861944491273,0.98757367642968,0.495,0.016138261959734,0.0099111311170684,1.0902694079348,1.0756831084196927
0.2475,0.9853373804090492,0.49754640117784005,0.019134685309036902,0.006038225166325472,1.117365680253149,1.0805397610760632,0.9830568792572,0.49375,0.021828679589113,0.014308117812445,1.0832701223568,1.0753534996760106
0.2525,0.9777007872070491,0.49676571237784006,0.028843207940236933,0.006814201717815474,1.105209973133149,1.0777989911060633,0.97729863908403,0.49275,0.029060131270636,0.016513628177553,1.0743968874663,1.0748848618485896
0.2575,0.968833358361743,0.49533237039215205,0.04011505607860419,0.00837118889253845,1.091246714139931,1.075284633974157,0.97026784807019,0.49375,0.037946618990433,0.015293184853063,1.0636119285154,1.0741086440426646
0.2625,0.958755189149243,0.49325703078315203,0.05292470604200418,0.010696435496453448,1.075505414324931,1.072992993144157,0.9619446650308,0.48899999999999993,0.048433918466289,0.022440102667964,1.0509064687509,1.07352181410605
0.2675,0.948017126541301,0.4921084380115716,0.06665555049974843,0.013427162256930235,1.0588894926369314,1.0705699601248404,0.95248777982216,0.4885,0.060495064537958,0.022926803011787,1.0365462708329,1.0725538988258116
0.2725,0.936629944307801,0.49187146151657163,0.08129254954149844,0.016556749089680238,1.0414132286169315,1.0680176800948404,0.94199672516499,0.48875,0.073823434756782,0.024969240571669,1.0207022511703,1.0713009722668128
0.2775,0.925073651462994,0.49080496385687505,0.09627203777921171,0.019923180002445737,1.023696366859237,1.0641178345120497,0.93074955988168,0.4835,0.088342086141926,0.032045923905428,1.0038314166827,1.0701201029657805
