time_s,count,median,mean,p25,p75,normal_speed_median_m_s
1.5099999951214076,0,nan,nan,nan,nan,nan
1.5200000254848507,11,12.27863308205986,20.168640688812857,8.6353051992675454,28.151376452735658,7.3030540280704948
1.5300000011460491,92,0.7748043013656587,6.6774787751680229,0.078026298532598876,9.2951913523387564,0.76967455770312188
1.5400000137899728,350,0.12136106780568132,2.49959498177286,0.024870539041011809,0.67235542146638405,0.12094419851233432
1.5500000324527383,613,0.059773604053793887,0.39670387636784127,0.018813812786754511,0.17354656479760786,0.074171368636576585
1.5599999975182131,765,0.092601324563279158,0.51719503986463178,0.026595315728996108,0.29818512582148837,0.10611296213329473
1.5700000138629662,769,0.085164842637926993,0.26131681366975862,0.028034496308227557,0.24318361572223307,0.09267468633734402
1.5799999842297094,853,0.072443458193155646,0.24158559137673033,0.022882543391476464,0.20308821020055268,0.082697907665830489
1.59000000265953,776,0.062214513592428147,0.24728028088481718,0.020453850610832117,0.16148914298163491,0.071172201697695864
1.6000000221555766,816,0.046999730681617155,0.14668020589015943,0.015526404306986024,0.11706551518874417,0.058834512962345854
1.6099999973662908,812,0.083231896017614784,0.33347432692840412,0.025503710215534933,0.25770789865843513,0.089452084706533597
1.6199999835647318,826,0.13652360538390809,0.57845245192007722,0.030189361437709002,0.49686033939484708,0.12648453958865402
1.6299999917980879,801,0.19745132942252883,0.80955206927816792,0.058197318836548773,0.51393371734597282,0.16053833477310245
1.6399999731926767,768,0.081928504351759412,0.49450839991081824,0.027579992437262307,0.26309372474839215,0.089039664108806038
1.6499999831239105,849,0.19297361693210471,0.58093766665219482,0.056650934694657429,0.54962416373181622,0.1682408188637638
1.6599999756720412,826,0.14115506153142771,0.74343835399766645,0.042552675988077986,0.44907190769757571,0.1319104997968723
1.6699999658114617,875,0.22186544557499466,0.81953457894805437,0.076658754919635752,0.55458517332634916,0.19115643283968231
1.6799999890663206,822,0.1457059677124154,0.60087786398209009,0.041070074767710033,0.44072129147656419,0.13527365181253934
1.6899999913565775,788,0.1568232877685895,0.90658011569468944,0.04390937588588039,0.53939892974090953,0.13446882155400947
1.7000000170528173,758,0.1559587253537327,0.72883806157262632,0.041585142165700077,0.4712382030984833,0.14313275556695423
1.7100000115737632,868,0.17536250405695847,0.96642683426199427,0.057035856524115247,0.49781447953632652,0.16149121812520428
1.7200000100452284,785,0.14451508191549653,0.68652538469057933,0.040212052571438922,0.44927106268178674,0.13765608467914214
1.7300000225965306,744,0.084364604832736875,0.85220749215508163,0.023296351410853268,0.27551721070021823,0.088011504617279968
1.7399999716705126,755,0.21493435397893559,0.93561716502588976,0.077735146764829247,0.56638213186967379,0.18932178329707783
1.7500000336261319,773,0.13430921791852854,0.73223627611867015,0.04193419024921459,0.39358111969999965,0.1274889059371363
1.7599999751132831,858,0.15210145363413458,0.61282010981619117,0.05158486582372436,0.4177939020821817,0.14605976440377902
1.7700000038023469,872,0.14843325391982359,0.70969816734818103,0.040298366951992549,0.47296457320944096,0.14411726646538942
1.7799999765040364,790,0.1091587238281032,0.66226621663367802,0.031712461445644838,0.3201513930796035,0.11780421020844992
1.789999969944541,844,0.16926041005099485,0.7197363604006255,0.050773183859574092,0.47290261338212247,0.16772997900463107
1.7999999694199884,852,0.15152551143102061,0.64795107877397684,0.04475779007425161,0.45678518236319177,0.15199601729349171
1.8099999947099925,868,0.13651923607604116,0.63391020848547541,0.045408270368639515,0.46025751452079544,0.14062003712053162
1.8199999938272469,836,0.15479573185382089,0.71087964116760072,0.055362060838612039,0.43585556399671144,0.15786392091398041
