time_s,total_W_m2,radiation_W_m2,reflected_W_m2,deposited_W_m2,convection_W_m2
1.5,0,0,0,0,0
1.5099999951214076,0,0,0,0,0
1.5200000254848507,759108.86962327454,0,0,0,759108.86962327454
1.5300000011460491,1156025.1013920056,0,51714.819320400442,331238.70063602342,773071.58143558179
1.5400000137899728,3400794.9787811874,0,159685.58773390978,2528743.6705499198,712365.72049735766
1.5500000324527383,4698773.0319349598,0,277026.89858972316,3769824.662547688,651921.47079754877
1.5599999975182131,3768933.3186008967,0,82769.513040740974,3054017.6214272734,632146.18413288228
1.5700000138629662,3057607.2094942974,0,39129.59051256442,2393795.4594941,624682.15948763303
1.5799999842297094,2705209.808682994,0,50974.135793199064,2033235.496284883,621000.17660491192
1.59000000265953,2491520.9271054352,0,50083.851521664452,1822326.7941520594,619110.28143171116
1.6000000221555766,2264465.1642592112,0,43989.483164511337,1601996.0131740097,618479.66792069015
1.6099999973662908,2459708.3254711218,303454.19677313999,33414.43729707181,1504903.2811409461,617936.41025996383
1.6199999835647318,2330399.927619685,303454.19677313999,30192.123904982385,1385274.3972646208,611479.20967694197
1.6299999917980879,2221534.8826037282,303454.19677313999,39147.61336094432,1272033.4651441472,606899.60732549673
1.6399999731926767,2147560.3881672742,303454.19677313999,40232.688774108668,1195969.161665861,607904.34095416439
1.6499999831239105,2122342.868346469,303454.19677313999,46917.204469374978,1160952.0204821748,611019.44662177935
1.6599999756720412,2142387.2190149929,303454.19677313999,69457.614309010358,1156939.7667842286,612535.64114861412
1.6699999658114617,2077908.6871522474,303454.19677313999,82883.433527482353,1077383.1095508127,614187.94730081211
1.6799999890663206,1997237.6915635557,303454.19677313999,53831.398225922865,1026714.7762739091,613237.32029058388
1.6899999913565775,2049344.5359130818,303454.19677313999,64423.227467889374,1068564.8508017883,612902.26087026414
1.7000000170528173,2121086.7776774173,303454.19677313999,106192.01755175188,1097679.9729221473,613760.59043037822
1.7100000115737632,2270248.6506582871,360552.7173933399,101083.50516335937,1193885.7930638052,614726.63503778272
1.7200000100452284,2207344.940571317,360552.7173933399,62971.253766567221,1176654.7766199934,607166.19279141666
1.7300000225965306,2155833.2814653646,360552.7173933399,70760.355200532664,1122691.6408589683,601828.5680125237
1.7399999716705126,2162904.619768315,360552.7173933399,77708.06454592447,1120530.1291482428,604113.70868080808
1.7500000336261319,2091562.0457036034,360552.7173933399,91234.80474874191,1031771.7306985708,608002.79286295082
1.7599999751132831,2114639.3039783151,360552.7173933399,73396.235017154933,1069835.4833847969,610854.86818302341
1.7700000038023469,2151661.6641542558,360552.7173933399,84911.256302332331,1093585.2327605272,612612.45769805636
1.7799999765040364,2121513.3955274401,360552.7173933399,70738.371379138407,1078289.4868475485,611932.81990741345
1.789999969944541,2105510.0155717903,360552.7173933399,84421.16518444955,1049569.9365005938,610966.19649340713
1.7999999694199884,2096403.8339947918,360552.7173933399,78902.326798929789,1046821.080646986,610127.70915553626
1.8099999947099925,2111030.8058479615,387498.75805273664,93278.75855989258,1019912.2705001556,610341.01873517688
1.8199999938272469,2090550.3754281204,387498.75805273664,102297.61359117473,996383.17917202634,604370.8246121828
