r_m,cpu_pressure_pa,cpu_mach,tadmor_pressure_pa,tadmor_mach,kurganov_pressure_pa,kurganov_mach,hlle_pressure_pa,hlle_mach,hllc_pressure_pa,hllc_mach,roe_pressure_pa,roe_mach,hllem_pressure_pa,hllem_mach,hllc_adc_pressure_pa,hllc_adc_mach,slau2_pressure_pa,slau2_mach,slau2_2_pressure_pa,slau2_2_mach
1e-06,88248.9458331,3.02733112407696,86812.404376347,2.95855613086719,83486.026246196,3.02392176648519,83479.409755583,3.02425255661596,83591.531070593,3.03315350387416,83438.155300547,3.03190537424167,83245.219163097,3.05129870105141,83657.963656345,3.03232419045124,72863.122504857,3.09761087469693,73155.594334855,3.09073476478778
0.00015550209205,88242.7066707,3.02732773495747,86809.924359635,2.95859037722991,83485.279358735,3.02391384228212,83478.697723632,3.02424474779954,83590.543434924,3.03314291572264,83437.433040304,3.03186412850194,83241.505791418,3.05141068149203,83656.845995642,3.03230378323334,72862.120331577,3.09762590124,73158.137899579,3.09065176180802
0.0003100041841,88236.4675084,3.02732500492034,86807.444342922,2.95862598490056,83484.532471274,3.02390728088147,83477.985691681,3.0242383019422,83589.555799255,3.03313365525799,83436.710780062,3.03182424408912,83237.792419739,3.05152402651224,83655.728334939,3.03228471569361,72861.118158296,3.0976414202872,73160.681464304,3.09056928898167
0.000464506276151,88230.228346,3.02732293396967,86804.964326209,2.95866295391691,83483.785583813,3.02390208229188,83477.27365973,3.02423321905303,83588.568163586,3.03312572247963,83435.988519819,3.03178572096945,83234.07904806,3.05163873628074,83654.610674236,3.03226698782464,72860.115985016,3.09765743185035,73163.225029028,3.09048734626736
0.000619008368201,88223.9891837,3.0273215220806,86802.484309496,2.95870128431489,83483.038696352,3.02389824652014,83476.56162778,3.02422949913935,83587.580527917,3.03311911738515,83435.266259577,3.03174855910793,83230.365676381,3.05175481096358,83653.493013533,3.03225059961724,72859.113811736,3.097673935942,73165.768593753,3.09040593362335
0.000773510460251,88217.7500214,3.02732076929806,86800.004292784,2.95874097612856,83482.291808891,3.02389577357088,83475.849595829,3.02422714220642,83586.592892247,3.03311383997083,83434.543999334,3.031712758467,83226.652304702,3.05187225072568,83652.375352829,3.03223555106037,72858.111638455,3.09769093257347,73168.312158477,3.09032505100809
0.000928012552301,88211.510859,3.02732067560147,86797.524276071,2.95878202939012,83481.54492143,3.02389466344722,83475.137563878,3.02422614825774,83585.605256578,3.03310989023048,83433.821739092,3.03167831900779,83222.938933023,3.05199105572962,83651.257692126,3.03222184214149,72857.109465175,3.09770842175662,73170.855723202,3.09024469837919
0.00108251464435,88205.2716967,3.02732124098635,86795.044259358,2.95882444412997,83480.798033968,3.02389491615041,83474.425531927,3.02422651729494,83584.617620909,3.0331072681567,83433.099478849,3.03164524068929,83219.225561344,3.05211122613652,83650.140031423,3.03220947284608,72856.107291895,3.09772640350281,73173.399287926,3.09016487569446
0.0012370167364,88199.0325343,3.02732246544228,86792.564242646,2.95886822037636,83480.051146507,3.02389653167956,83473.713499976,3.02422824931786,83583.62998524,3.0331059737401,83432.377218606,3.03161352346858,83215.512189665,3.05223276210577,83649.02237072,3.03219844315766,72855.105118614,3.09774487782278,73175.94285265,3.09008558291135
0.00139151882845,88192.793372,3.02732434898872,86790.084225933,2.95891335815586,83479.304259046,3.02389951003237,83473.001468026,3.02423134432432,83582.642349571,3.03310600696984,83431.654958364,3.03158316730129,83211.798817986,3.05235566379445,83647.904710017,3.03218875305826,72854.102945334,3.09776384472782,73178.486417375,3.09000681998684
