record_type,time_ms,experiment_beta,cold_beta,cold_wall_state,cold_contact_area_m2,cold_frozen_area_m2
experiment,0.0,0.0,,,,
experiment,1.0,4.275,,,,
experiment,2.0,4.5,,,,
experiment,3.0,3.825,,,,
experiment,4.0,3.675,,,,
experiment,5.0,3.75,,,,
experiment,10.0,3.65,,,,
coldWall,0.0,,0.0,3,0.0,0.0
coldWall,0.04899999999999996,,1.336197560716534,3,3.50567167161814e-05,0.0
coldWall,0.09899999999999994,,1.8783209314424671,3,6.927387576209687e-05,0.0
coldWall,0.14899999999999997,,2.278323862583682,3,0.00010192032685997672,0.0
coldWall,0.19899999999999995,,2.602582222569502,3,0.0001329960700098209,0.0
coldWall,0.24899999999999992,,2.876823478899017,3,0.0001625011052116296,0.0
coldWall,0.29899999999999993,,3.1142891537793584,3,0.00019043543246540325,0.0
coldWall,0.349,,3.3228730097679193,3,0.0002167990517711412,0.0
coldWall,0.39899999999999997,,3.507731125076965,3,0.0002415919631288434,0.0
coldWall,0.44899999999999995,,3.6724480600434037,3,0.00026481416653850997,0.0
coldWall,0.499,,3.8196303960845013,3,0.0002864656620001407,0.0
coldWall,0.5489999999999999,,3.9512380936564657,3,0.00030654644951373585,0.0
coldWall,0.599,,4.068782752116972,3,0.0003250565290792952,0.0
coldWall,0.6489999999999999,,4.173452790697456,3,0.00034199590069681893,0.0
coldWall,0.699,,4.266195941295881,3,0.0003573645643663068,0.0
coldWall,0.749,,4.347775514440891,3,0.00037116252008775907,0.0
coldWall,0.7989999999999999,,4.41880985555017,3,0.0003833897678611755,0.0
coldWall,0.849,,4.479800626828845,3,0.0003940463076865563,0.0
coldWall,0.8989999999999999,,4.531153415396366,3,0.0004031321395639014,0.0
coldWall,0.949,,4.573192910065509,3,0.0004106472634932107,0.0
coldWall,0.9989999999999999,,4.606174118786865,3,0.000416591679474484,0.0
coldWall,1.049,,4.630290610057182,3,0.0004209653875077217,0.0
coldWall,1.099,,4.6456804405467595,3,0.00042376838759292383,0.0
coldWall,1.1489999999999998,,4.652430212143651,3,0.0004250006797300907,0.0
coldWall,1.199,,4.652459999960301,3,0.0004250061219967233,0.0
coldWall,1.2489999999999999,,4.650948769976644,3,0.00042473006258705696,0.0
coldWall,1.299,,4.648194615161792,3,0.00042422718626982975,0.0
coldWall,1.349,,4.644198271539205,3,0.00042349803056607985,0.0
coldWall,1.3989999999999998,,4.63896080709629,3,0.00042254337486532584,0.0
