time_s,Tw_experiment_K,Tw_laminar_K,Tw_sst_K,Tn1_experiment_K,Tn1_laminar_K,Tn1_sst_K,Tn2_experiment_K,Tn2_laminar_K,Tn2_sst_K
1.0,893.8356164383562,882.9843849053582,882.9843849053582,390.0,391.44403884065395,391.44403884065395,300.0,300.6809915335484,300.6809915335484
1.1000000000000023,942.4657534246587,874.5914814219649,882.9843849053582,403.0000000000003,417.1107503072193,391.44403884065395,303.00000000000006,304.2528224768796,300.6809915335484
1.199999999999973,991.0958904109458,874.5914814219649,1020.5384304214875,415.9999999999965,417.1107503072193,417.8009808073554,305.9999999999992,304.2528224768796,304.2534196100621
1.2999999999999825,1039.7260273972518,869.7588066071854,1093.485047633143,428.9999999999977,436.80909477302157,439.4044773603024,308.9999999999995,307.2255321642268,307.22946648591676
1.4000000000000494,1088.3561643835856,869.7880372656459,1154.4529735960064,442.0000000000064,452.4884274121781,458.3385009828266,312.0000000000015,309.85202585626,309.8663205084122
1.500000000000017,1136.9863013698705,872.8018836741061,1210.0687689844065,455.00000000000256,465.40462477397864,475.70943623036715,315.0000000000005,312.3127526347641,312.35068942831873
1.5999999999999996,1181.5068493150684,877.875945007832,1262.667248600563,469.99999999999994,476.3400695819021,492.0902370422076,318.0,314.71078922410163,314.7931914915157
1.699999999999962,1226.027397260257,884.2822188323621,1312.8637651524557,484.9999999999943,485.84912138806385,507.7568806992937,320.99999999999886,317.09715202970625,317.25269378910025
1.7999999999999372,1270.5479452054515,891.5771514877509,1360.9925496915014,499.99999999999056,494.2978435740028,522.8738928405761,323.9999999999981,319.4919363601013,319.7567091832031
1.90000000000002,1315.068493150694,899.5959417791746,1407.7212193624553,515.000000000003,501.95160014337466,537.5372672971905,327.00000000000057,321.8984645626578,322.31500480329737
1.9999999999999893,1359.5890410958857,908.1797245622479,1453.4560250059924,529.9999999999984,509.0030473188556,551.8147827972691,329.99999999999966,324.3119284307737,324.92781585138255
2.0999999999999854,1399.999999999994,917.2073935412204,1498.4177785018733,543.999999999998,515.5923375551646,565.7695767605112,331.9999999999997,326.72426803819565,327.5909764617366
2.199999999999985,1440.4109589041036,926.0579575702391,1541.227635977163,557.999999999998,521.8216673696656,579.4365756392651,333.9999999999997,329.1269047881775,330.29841368979527
2.300000000000166,1480.8219178082863,934.421181387211,1581.3672473753952,572.0000000000232,527.7574726921241,592.8557531579708,336.0000000000033,331.512128745995,333.04357946900046
2.400000000000107,1521.232876712372,942.5655310499312,1619.6814987101,586.000000000015,533.4506613620391,606.0428854610823,338.00000000000216,333.8735101591542,335.82059596595394
2.4999999999999156,1561.6438356164042,950.5527583492127,1656.571123453543,599.9999999999882,538.9387918639869,619.0206261121708,339.9999999999983,336.20598718157026,338.62407773478935
2.600000000000026,1593.150684931515,958.4093490644784,1692.2367887941405,614.0000000000036,544.2480990552721,631.8001116413234,344.000000000001,338.5059795331017,341.44910428209556
2.69999999999993,1624.6575342465533,966.1486690141758,1726.8515339715468,627.9999999999902,549.3961331882076,644.3830085080816,347.9999999999972,340.77117275429237,344.29200437117345
2.7999999999999847,1656.164383561639,973.7778227006066,1760.4602541285185,641.9999999999978,554.398716322838,656.7916038635547,351.9999999999994,343.0001424663241,347.14974259003304
2.900000000000057,1687.6712328767303,981.3040597876774,1793.2294788895695,656.000000000008,559.2705753288691,669.0369118633397,356.0000000000023,345.19215428738335,350.019397600246
3.00000000000003,1719.178082191788,988.7323581774538,1825.203087341264,670.000000000004,564.0242900770025,681.1192922045987,360.0000000000009,347.34704121693227,352.8981736609716
3.1000000000000787,1743.1506849315256,996.0659350701012,1856.3985673259374,683.0000000000102,568.6693663283824,693.0425707850245,363.0000000000024,349.46544786121206,355.7847165470001
3.1999999999999194,1767.1232876712133,1003.1856784047189,1886.6475984607598,695.9999999999895,573.2130328924496,704.8284984314026,365.99999999999756,351.5482877211048,358.67808562086975
3.300000000000007,1791.0958904109605,1010.059058213639,1915.8257573131111,709.0000000000009,577.6613770406038,716.477902994707,369.0000000000002,353.59655009607525,361.57665078386725
3.400000000000011,1815.0684931506873,1016.7527914784297,1944.1560642550398,722.0000000000015,582.019725211316,727.9863367168346,372.00000000000034,355.6113024589713,364.478616474085
3.499999999999976,1839.0410958904051,1023.2799851420915,1971.7592087253017,734.9999999999969,586.292843333486,739.3518498876632,374.99999999999926,357.59368395481965,367.3825213310138
3.60000000000002,1856.1643835616471,1029.6416730640472,1998.6329905087182,743.0000000000016,590.4848192402459,750.583572560579,378.0000000000006,359.54499399169106,370.289059198487
3.7000000000000224,1873.2876712328805,1035.8872337538044,2024.9163338633618,751.0000000000018,594.5986372838389,761.6823841878733,381.0000000000007,361.4670555782184,373.1987744553108
3.799999999999942,1890.4109589040997,1042.0354881508547,2050.714780887067,758.9999999999953,598.6369616135418,772.6435271632599,383.99999999999824,363.361373250555,376.1101800030459
3.8999999999999684,1907.5342465753372,1048.0708611566545,2076.0055453191094,766.9999999999975,602.6028905009496,783.4693959782837,386.99999999999903,365.22917704032034,379.02155138002183
3.9999999999999085,1924.6575342465599,1053.9981175370938,2100.77533214937,774.9999999999927,606.5005545669962,794.1621598938727,389.99999999999727,367.0715877161489,381.9315529881371
4.099999999999796,1930.8219178082068,1059.8258432303367,2125.0601441912554,788.9999999999715,610.3333125496409,804.7249584051098,393.99999999999187,368.8896999384248,384.84000705962603
4.2000000000001005,1936.9863013698694,1065.5570692662511,2148.9298317903545,803.0000000000141,614.1045527367119,815.1627944862666,398.00000000000404,370.6845344850102,387.7484973074911
4.2999999999997796,1943.1506849314933,1071.1878125626856,2172.3755096201976,816.9999999999691,617.8167524756981,825.4696645551363,401.9999999999912,372.45721324554626,390.6566829020777
4.399999999999769,1949.3150684931366,1076.7251878592485,2195.3879214726944,830.9999999999677,621.4720381825301,835.6583188158695,405.9999999999908,374.20949094035973,393.56279743570065
