temperature_component,time_s,particle_count,temperature_median_K,temperature_mean_K,temperature_p25_K,temperature_p75_K
topLayer,2.3499999897467374,1548,2993.75425424,3001.97131104,2963.59295932,3025.83814888
enthalpyMean,2.3499999897467374,1548,2920.04136114,2947.50021469,2866.07316165,3023.34647161
bottomLayer,2.3600000281769162,1510,2823.64730029,2849.56825235,2775.20304222,2916.08076237
topLayer,2.3600000281769162,1510,3001.55327898,3008.20960332,2968.99040779,3044.06910018
enthalpyMean,2.3600000281769162,1510,2923.01156366,2950.76071307,2868.16635781,3029.45623041
bottomLayer,2.3699999667208242,1490,2826.20252103,2852.0478986,2778.25582458,2917.37843251
topLayer,2.3699999667208242,1490,3006.68315454,3015.12572993,2975.53771805,3052.04656483
enthalpyMean,2.3699999667208242,1490,2924.94199424,2954.70087001,2870.13454752,3036.44366675
bottomLayer,2.3799999826463303,1478,2827.35349496,2856.40329079,2779.19800979,2924.50242352
topLayer,2.3799999826463303,1478,3012.49094185,3019.23439989,2978.26566204,3055.50295275
enthalpyMean,2.3799999826463303,1478,2927.15209406,2959.25467346,2872.56330402,3045.20624348
bottomLayer,2.3900000136255266,1483,2835.33198726,2861.56168851,2782.00981397,2931.62417197
topLayer,2.3900000136255266,1483,3017.98672161,3022.53840329,2978.5387269,3057.12750907
enthalpyMean,2.3900000136255266,1483,2934.24738215,2964.58907515,2875.2247567,3051.67250855
bottomLayer,2.3999999844136446,1500,2837.96484763,2862.49159384,2783.9767076,2930.13007837
topLayer,2.3999999844136446,1500,3022.02116307,3026.60012212,2984.80373166,3059.29211262
enthalpyMean,2.3999999844136446,1500,2938.30463873,2966.28916915,2878.86439754,3051.05090349
bottomLayer,2.4099999692871736,1528,2835.34316464,2855.35496112,2785.52634178,2917.84243469
topLayer,2.4099999692871736,1528,2989.29672641,2994.98641815,2958.7305368,3023.29185906
enthalpyMean,2.4099999692871736,1528,2931.26636127,2955.47442373,2875.06223862,3028.97205565
bottomLayer,2.4200000358227265,1579,2825.38214204,2846.76579848,2781.86665646,2900.15348405
topLayer,2.4200000358227265,1579,2951.39575868,2962.75424176,2928.13061064,2986.08135175
enthalpyMean,2.4200000358227265,1579,2914.41191689,2942.07773495,2866.60244406,3007.54234183
bottomLayer,2.4300000352741398,1567,2819.46186196,2844.76136358,2776.15318425,2899.43527692
topLayer,2.4300000352741398,1567,2965.8220952,2972.19256798,2934.25673293,2990.29189242
enthalpyMean,2.4300000352741398,1567,2913.88051352,2942.24561223,2864.30473907,3008.59562481
bottomLayer,2.4400000090353351,1576,2821.29615825,2847.96179188,2776.97881476,2910.61623036
topLayer,2.4400000090353351,1576,2974.44685914,2987.40905198,2952.85281322,3000.60560181
enthalpyMean,2.4400000090353351,1576,2917.95205508,2946.76089517,2866.35833761,3016.18933711
bottomLayer,2.4499999643790789,1601,2823.53418495,2851.28770062,2777.66323686,2917.38458645
topLayer,2.4499999643790789,1601,2984.20522527,2998.64068157,2962.57324397,3014.76548642
enthalpyMean,2.4499999643790789,1601,2921.68228812,2951.59741124,2869.46264173,3026.16728461
bottomLayer,2.4600000109870366,1602,2825.37638783,2853.52774027,2778.08089587,2917.97962432
topLayer,2.4600000109870366,1602,2991.54430204,3004.99546643,2969.13278531,3026.8573979
enthalpyMean,2.4600000109870366,1602,2923.32020783,2954.0938972,2870.26513331,3030.0406066
bottomLayer,2.4700000023285829,1577,2826.66547847,2855.59668408,2780.85401089,2925.69740982
topLayer,2.4700000023285829,1577,2995.24661747,3008.97041455,2972.81683831,3044.07883995
enthalpyMean,2.4700000023285829,1577,2922.52242193,2955.49030813,2872.69815398,3035.78986678
bottomLayer,2.479999982114697,1570,2827.41645997,2858.91074848,2781.85694806,2929.35627174
topLayer,2.479999982114697,1570,2998.51039286,3011.29896009,2974.38358737,3047.03712569
enthalpyMean,2.479999982114697,1570,2924.15227414,2958.25591995,2873.61811295,3038.20529236
bottomLayer,2.4899999717471624,1550,2830.62608833,2860.82274295,2784.2841537,2933.34100224
topLayer,2.4899999717471624,1550,3000.50607382,3013.49848969,2977.2404262,3048.20669123
enthalpyMean,2.4899999717471624,1550,2926.18586418,2960.38900649,2874.66830077,3046.06231671
