# Region type :          patch fluid_to_graphite
# Faces  :               2
# Area   :               4.15201242410056137e-04
# Time                   	areaAverage(particleRadiationWallHeatFlux)	areaAverage(particleReflectedWallHeatFlux)	areaAverage(particleStuckWallHeatFlux)	areaAverage(gasConvectiveWallHeatFlux)
1.5                      	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00
1.5099999951214076       	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00
1.5200000254848507       	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	7.59108869623274542e+05
1.5300000011460491       	0.00000000000000000e+00	5.17148193204004419e+04	3.31238700636023423e+05	7.73071581435581786e+05
1.5400000137899728       	0.00000000000000000e+00	1.59685587733909779e+05	2.52874367054991983e+06	7.12365720497357659e+05
1.5500000324527383       	0.00000000000000000e+00	2.77026898589723161e+05	3.76982466254768800e+06	6.51921470797548769e+05
1.5599999975182131       	0.00000000000000000e+00	8.27695130407409742e+04	3.05401762142727338e+06	6.32146184132882277e+05
1.5700000138629662       	0.00000000000000000e+00	3.91295905125644204e+04	2.39379545949409995e+06	6.24682159487633035e+05
1.5799999842297094       	0.00000000000000000e+00	5.09741357931990642e+04	2.03323549628488300e+06	6.21000176604911918e+05
1.59000000265953         	0.00000000000000000e+00	5.00838515216644519e+04	1.82232679415205936e+06	6.19110281431711162e+05
1.6000000221555766       	0.00000000000000000e+00	4.39894831645113372e+04	1.60199601317400974e+06	6.18479667920690146e+05
1.6099999973662908       	3.03454196773139993e+05	3.34144372970718105e+04	1.50490328114094608e+06	6.17936410259963828e+05
1.6199999835647318       	3.03454196773139993e+05	3.01921239049823853e+04	1.38527439726462075e+06	6.11479209676941973e+05
1.6299999917980879       	3.03454196773139993e+05	3.91476133609443204e+04	1.27203346514414717e+06	6.06899607325496734e+05
1.6399999731926767       	3.03454196773139993e+05	4.02326887741086684e+04	1.19596916166586103e+06	6.07904340954164392e+05
1.6499999831239105       	3.03454196773139993e+05	4.69172044693749776e+04	1.16095202048217482e+06	6.11019446621779352e+05
1.6599999756720412       	3.03454196773139993e+05	6.94576143090103578e+04	1.15693976678422862e+06	6.12535641148614115e+05
1.6699999658114617       	3.03454196773139993e+05	8.28834335274823534e+04	1.07738310955081275e+06	6.14187947300812113e+05
1.6799999890663206       	3.03454196773139993e+05	5.38313982259228651e+04	1.02671477627390914e+06	6.13237320290583884e+05
1.6899999913565775       	3.03454196773139993e+05	6.44232274678893737e+04	1.06856485080178827e+06	6.12902260870264145e+05
1.7000000170528173       	3.03454196773139993e+05	1.06192017551751880e+05	1.09767997292214725e+06	6.13760590430378215e+05
1.7100000115737632       	3.60552717393339903e+05	1.01083505163359368e+05	1.19388579306380521e+06	6.14726635037782718e+05
1.7200000100452284       	3.60552717393339903e+05	6.29712537665672207e+04	1.17665477661999338e+06	6.07166192791416659e+05
1.7300000225965306       	3.60552717393339903e+05	7.07603552005326637e+04	1.12269164085896825e+06	6.01828568012523698e+05
1.7399999716705126       	3.60552717393339903e+05	7.77080645459244697e+04	1.12053012914824276e+06	6.04113708680808078e+05
1.7500000336261319       	3.60552717393339903e+05	9.12348047487419099e+04	1.03177173069857084e+06	6.08002792862950824e+05
1.7599999751132831       	3.60552717393339903e+05	7.33962350171549333e+04	1.06983548338479688e+06	6.10854868183023413e+05
1.7700000038023469       	3.60552717393339903e+05	8.49112563023323310e+04	1.09358523276052717e+06	6.12612457698056358e+05
1.7799999765040364       	3.60552717393339903e+05	7.07383713791384071e+04	1.07828948684754851e+06	6.11932819907413446e+05
1.789999969944541        	3.60552717393339903e+05	8.44211651844495500e+04	1.04956993650059379e+06	6.10966196493407129e+05
1.7999999694199884       	3.60552717393339903e+05	7.89023267989297892e+04	1.04682108064698603e+06	6.10127709155536257e+05
1.8099999947099925       	3.87498758052736637e+05	9.32787585598925798e+04	1.01991227050015563e+06	6.10341018735176884e+05
1.8199999938272469       	3.87498758052736637e+05	1.02297613591174726e+05	9.96383179172026343e+05	6.04370824612182798e+05
1.82999997029696         	3.87498758052736637e+05	7.85270327321845252e+04	9.87954859378857771e+05	5.99338686957762344e+05
1.8400000071902864       	3.87498758052736637e+05	1.14143702564814172e+05	9.82045879838766297e+05	6.01408194702502806e+05
1.8499999910801757       	3.87498758052736637e+05	9.92165465129088261e+04	1.06254946265800274e+06	6.05915484677568660e+05
1.8600000277826365       	3.87498758052736637e+05	8.79447233207600366e+04	1.03183389088104432e+06	6.09497733785157674e+05
1.8699999862961931       	3.87498758052736637e+05	9.32748035451975156e+04	1.00873065594847302e+06	6.12915092006309424e+05
1.8799999654623909       	3.87498758052736637e+05	8.30963299744419637e+04	9.99634621010109782e+05	6.12975036616812809e+05
1.8900000172808737       	3.87498758052736637e+05	8.45739832524018711e+04	9.80262786922716652e+05	6.13578289831095724e+05
1.899999977555995        	3.87498758052736637e+05	8.04057108983615180e+04	1.03851341693173267e+06	6.14790044645278831e+05
1.9099999926702389       	4.10229945603681554e+05	8.36643626789315313e+04	1.02909731400908495e+06	6.15893644216815010e+05
1.919999980628496        	4.10229945603681554e+05	9.14368266928709490e+04	9.99287236362975556e+05	6.08759593034326914e+05
1.9299999872142815       	4.10229945603681554e+05	1.05445467141023764e+05	9.74033730425300775e+05	6.04289387429125374e+05
1.9399999946234745       	4.10229945603681554e+05	1.14676824566363764e+05	1.07010684188753110e+06	6.07954499339993228e+05
1.9500000228004508       	4.10229945603681554e+05	1.15851561999413811e+05	1.16822896619227319e+06	6.13605398586878669e+05
1.9599999926227714       	4.10229945603681554e+05	1.14871977253186895e+05	1.20869369434574922e+06	6.17001585299305618e+05
1.9700000327608738       	4.10229945603681554e+05	1.30250457019135705e+05	1.26081247959521948e+06	6.19138299802710651e+05
1.9800000264874242       	4.10229945603681554e+05	8.63946850940567965e+04	1.15850142211244884e+06	6.19947139111865079e+05
1.9899999873899867       	4.10229945603681554e+05	1.34424646047083865e+05	1.13736850589374825e+06	6.20215003208031761e+05
1.9999999817259324       	4.10229945603681554e+05	1.03163757115448811e+05	1.12950659865519288e+06	6.20419802202818566e+05
2.0099999974587921       	3.92427165731253859e+05	1.06781513607439658e+05	1.17059017554574483e+06	6.21442098610030953e+05
2.0200000316052424       	3.92427165731253859e+05	1.10230778501455628e+05	1.22524093639738462e+06	6.13331949164220830e+05
2.0299999646939595       	3.92427165731253859e+05	9.66163652424173051e+04	1.14398722272983007e+06	6.06940099240634008e+05
2.0399999828460311       	3.92427165731253859e+05	1.08806600359447082e+05	1.08736582236601599e+06	6.08475696014884277e+05
2.05000002708669         	3.92427165731253859e+05	7.33551787699997221e+04	1.10491988466678583e+06	6.13733751783303916e+05
2.060000014315154        	3.92427165731253859e+05	9.02563484943496733e+04	1.15689421532439813e+06	6.17403008977260441e+05
2.0699999756942535       	3.92427165731253859e+05	1.23414312446196593e+05	1.11076048210295662e+06	6.20045348154104780e+05
2.0800000231170301       	3.92427165731253859e+05	9.63966669883865980e+04	1.03091980542062572e+06	6.20453521676851436e+05
2.0899999659549238       	3.92427165731253859e+05	8.64933710380775447e+04	1.01255524988422776e+06	6.20087727998925722e+05
2.1000000328958599       	3.92427165731253859e+05	8.21667043634430302e+04	1.09703556794749876e+06	6.20517300589605467e+05
2.1099999890066172       	3.90123118669878750e+05	1.15806510281208786e+05	1.07438606555723422e+06	6.20756945668077678e+05
2.1200000264682473       	3.90123118669878750e+05	1.19502832124107503e+05	1.08336939288113057e+06	6.13075123998799711e+05
2.1299999797903428       	3.90123118669878750e+05	1.13236759696568930e+05	9.79515753986950149e+05	6.07769469634225243e+05
2.1400000264965238       	3.90123118669878750e+05	9.45043633717371995e+04	9.97955701103218598e+05	6.10603737899255590e+05
2.1499999812208177       	3.90123118669878750e+05	1.02216972879481167e+05	1.02391234667077498e+06	6.15602743910380523e+05
2.1599999774369305       	3.90123118669878750e+05	1.23151544002218972e+05	9.74171810856849654e+05	6.18841223329150118e+05
2.1700000227943663       	3.90123118669878750e+05	1.05758032490070967e+05	9.45499916900250595e+05	6.21954120668323594e+05
2.1800000078122013       	3.90123118669878750e+05	9.27446977275305981e+04	9.79502355076324428e+05	6.22457720131482230e+05
2.1900000151907548       	3.90123118669878750e+05	1.03985789242639890e+05	9.96724896094411146e+05	6.22659687195564620e+05
2.1999999809721302       	3.90123118669878750e+05	1.19634395374873449e+05	1.01684342983249377e+06	6.23221794338949840e+05
2.2100000228093526       	4.21893672159864800e+05	9.40068593329347786e+04	1.04376924572527281e+06	6.23411200150560238e+05
2.2200000340063322       	4.21893672159864800e+05	8.26842902538408525e+04	9.95138454710376915e+05	6.16045136717720539e+05
2.2299999804780186       	4.21893672159864800e+05	9.61557201540176320e+04	9.85002622388321324e+05	6.10145695012836833e+05
2.2399999966434834       	4.21893672159864800e+05	1.21016592594792193e+05	1.02543501270544145e+06	6.12269705541506875e+05
2.2499999699816686       	4.21893672159864800e+05	1.27463025643189263e+05	1.02027298726651061e+06	6.16035635984340450e+05
2.2599999809040359       	4.21893672159864800e+05	1.45095466507288744e+05	1.03510443248685740e+06	6.20305589210680104e+05
2.2700000291576248       	4.21893672159864800e+05	9.20882700998189976e+04	1.32951908405956184e+06	6.19716711056879023e+05
2.2800000202047879       	4.21893672159864800e+05	6.78259966594978760e+04	1.14537622898748051e+06	6.21550110934166121e+05
2.2899999732190857       	4.21893672159864800e+05	1.08053250628039619e+05	1.09185372013685969e+06	6.20381620482472470e+05
2.3000000072069025       	4.21893672159864800e+05	1.30967535996383944e+05	1.07343485514323623e+06	6.20662489266778925e+05
2.3100000291100744       	4.20860068837769155e+05	8.36039327687071345e+04	1.09255518463405082e+06	6.22422440224312944e+05
2.3200000137908336       	4.20860068837769155e+05	8.33730879304687114e+04	1.05540740052378131e+06	6.15739887178153382e+05
2.3299999793017312       	4.20860068837769155e+05	9.88699100768551289e+04	1.02900436663676915e+06	6.10086751018992276e+05
2.3400000086299042       	4.20860068837769155e+05	8.99610368093328580e+04	1.09414018215619633e+06	6.11764510689722490e+05
2.3499999897467374       	4.20860068837769155e+05	1.10952535741007800e+05	1.03774843537758815e+06	6.17318361199958134e+05
2.3600000281769162       	4.20860068837769155e+05	1.03429109641576142e+05	1.02312449773498415e+06	6.20251726724659209e+05
2.3699999667208242       	4.20860068837769155e+05	1.11811935854385971e+05	9.90923812491336837e+05	6.23203113813184318e+05
2.3799999826463303       	4.20860068837769155e+05	1.26084660952042308e+05	1.01433393199758965e+06	6.24409378362345276e+05
2.3900000136255266       	4.20860068837769155e+05	1.53484315321632050e+05	9.96641087667495827e+05	6.24618638444207376e+05
2.39999997262262         	4.20860068837769155e+05	1.10384163948079455e+05	1.03789335204110597e+06	6.25813668845545966e+05
